iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
MDG,2002,89317.51419,42379798.71
MDV,2002,4.588154946,128.6196796
MEX,2002,158834.1254,50270044.81
MKD,2002,890.1837635,277324.0977
MLI,2002,175.2904428,52575.73725
MLT,2002,1.752961399,435.5994536
MMR,2002,66119.68071,34029882.22
MNE,2002,179.6207712,72612.00698
MNG,2002,18728.01995,3018528.104
MOZ,2002,106658.3376,33953271.94
MSR,2002,1.62272987,794.2841758
MTQ,2002,48.86224871,24051.41338
MUS,2002,154.4299605,76954.04004
MWI,2002,4189.572628,1604432.785
MYS,2002,312553.7873,140020778.6
MYT,2002,20.86919036,10849.22396
NAM,2002,108.0072182,21925.52302
NCL,2002,626.8680588,221001.8161
NER,2002,0.676416444,55.79061875
NGA,2002,32346.71006,11479241.64
NIC,2002,54194.49469,26749849.99
NLD,2002,824.5813586,290020.0447
NOR,2002,26635.75319,5352001
NPL,2002,2128.64331,1264206.948
NZL,2002,63227.9271,27173916.98
PAK,2002,325.0117524,135967.0917
PAN,2002,19200.13718,9414193.056
PER,2002,80452.08582,49931614.61
PHL,2002,32309.18926,18339100.86
PLW,2002,75.30077104,57486.44567
PNG,2002,54575.5022,37922222.02
POL,2002,31070.13979,9399195.738
PRI,2002,1168.095778,483912.1434
PRK,2002,5358.227207,1354453.541
PRT,2002,34903.34915,8646694.626
PRY,2002,195124.6398,49523136.12
PSE,2002,1.830287115,344.8302244
REU,2002,502.6683752,221658.9685
ROU,2002,16356.44545,6591965.025
RUS,2002,2700384.154,376675730.3
RWA,2002,941.338718,314965.8573
SDN,2002,76.10035582,15864.21359
SEN,2002,164.4305544,46697.97634
SGP,2002,123.516999,45636.34735
SLB,2002,3866.106668,2937333.862
SLE,2002,15310.24197,5345892.892
SLV,2002,4666.509817,1725294.588
SMR,2002,0.111479129,17.95364559
SOM,2002,250.8913304,48796.00084
SPM,2002,0.105856563,11.48078256
SRB,2002,1134.989088,450931.4511
SSD,2002,8148.679824,1834130.042
SUR,2002,3717.477562,2673189.188
SVK,2002,4015.732505,1735549.293
SVN,2002,723.8725078,314785.6517
SWE,2002,178264.0808,33653036.15
SWZ,2002,3800.765838,1968623.267
SXM,2002,0.439427723,107.6951722
SYC,2002,0.227775334,62.76385603
SYR,2002,147.9991941,37781.71463
TCA,2002,4.652026517,776.2678851
TCD,2002,1958.47583,507542.7919
TGO,2002,2020.785483,540967.0236
THA,2002,60882.18974,32009653.83
TJK,2002,36.63912049,9047.797904
TKM,2002,105.1787401,24296.78933
TLS,2002,1604.598898,908793.7961
TTO,2002,726.0770093,331719.3517
TUN,2002,243.8717387,66099.48843
TUR,2002,25722.22142,5743915.968
TWN,2002,1004.574022,491278.085
TZA,2002,85080.90089,28162140.07
UGA,2002,10840.69681,3727446.857
UKR,2002,27077.01971,8159549.36
UMI,2002,6.505533058,0
URY,2002,6870.11867,1886083.088
USA,2002,2038249.962,676436747.7
UZB,2002,265.2317188,56962.63525
VCT,2002,7.945998949,4031.539334
VEN,2002,90372.37708,33599409.46
VGB,2002,2.996441556,1166.015641
VIR,2002,20.90283313,7997.376781
VNM,2002,49625.43782,24910238.87
VUT,2002,108.2396496,57999.2577
XAD,2002,0.507202227,124.7856954
XCA,2002,23.39391396,1848.551696
XKO,2002,214.9078823,86488.0172
XNC,2002,3.340847417,706.5770307
ZAF,2002,47679.93414,22287477.99
ZMB,2002,46240.24361,16696918.25
ZWE,2002,8016.170851,2597463.926
ABW,2003,0.9770576,79.40695103
AFG,2003,244.3362552,75047.95197
AGO,2003,52461.54547,16351297.05
AIA,2003,1.097745085,172.0987448
ALA,2003,220.7748552,46038.85826
ALB,2003,613.533965,192929.7444
AND,2003,0.342063642,121.5370453
ARG,2003,249155.0069,48501581.64
ARM,2003,395.8166949,133546.5703
ATG,2003,17.07802261,5226.703793
AUS,2003,373846.6091,57328473.81
AUT,2003,14475.69483,5774050.554
AZE,2003,1039.341551,304172.6198
BDI,2003,1325.183318,488255.1246
BEL,2003,1889.777513,901216.3335
BEN,2003,3475.926415,1013513.07
BES,2003,16.15018967,0
BFA,2003,2.038243484,487.3827115
BGD,2003,2159.457158,1031081.968
BGR,2003,5198.715558,1636734.23
BHS,2003,274.2308763,56499.04212
BIH,2003,307.8114117,123298.6346
BLR,2003,32119.38156,8632597.413
BLZ,2003,6843.896175,3007008.834
BMU,2003,0.130570243,26.76527056
BOL,2003,163759.0988,77933448.08
BRA,2003,3248526.734,1483508616
BRB,2003,2.997849387,880.3488049
BRN,2003,799.1767213,522492.3244
BTN,2003,543.6007673,272474.5479
BWA,2003,8.572551344,1355.099702
CAF,2003,13726.63788,6693939.166
CAN,2003,1607282.58,308388308.8
CHE,2003,433.2828851,193890.1668
CHL,2003,82843.76404,25788976.96
CHN,2003,261761.4952,87854576.68
CIV,2003,86247.16119,33105866.65
CMR,2003,25344.84636,13664814.11
COD,2003,274739.9994,142904685.8
COG,2003,18514.84252,9813034.156
COL,2003,122417.1448,59608092.04
COM,2003,26.65331395,12572.5663
CPV,2003,8.925222414,0
CRI,2003,8260.607755,4130731.464
CUB,2003,6556.683915,1880031.103
CUW,2003,0.827957708,155.5938914
CYM,2003,6.324797604,1373.164977
CYP,2003,25.22916781,5468.782696
CZE,2003,3925.277971,1641635.063
DEU,2003,6448.617531,2901524.739
DMA,2003,27.23870244,15963.47619
DNK,2003,1579.71326,386855.2034
DOM,2003,10714.00158,4159720.112
DZA,2003,3831.437113,1049862.535
ECU,2003,13835.72643,8155777.06
EGY,2003,61.01187804,12820.44456
ESP,2003,23315.39344,6921870.245
EST,2003,5632.561979,1376011.822
ETH,2003,13936.04122,6387522.732
FIN,2003,89696.55115,16219868.81
FJI,2003,1572.235904,833771.0855
FRA,2003,26393.33418,9841677.879
GAB,2003,16845.22031,9876635.841
GBR,2003,1875.16737,583419.781
GEO,2003,292.002685,112215.7728
GHA,2003,24955.24902,9795767.041
GIN,2003,9229.458009,3509967.947
GLP,2003,76.87749934,29457.48069
GMB,2003,10.56543665,2394.851109
GNB,2003,1021.877364,332339.5776
GNQ,2003,1961.187536,1208889.626
GRC,2003,2562.535174,587182.5437
GRD,2003,71.34625369,38083.00897
GTM,2003,98173.67565,36595188.66
GUF,2003,1889.081601,1402960.958
GUY,2003,7418.606943,4549818.087
HKG,2003,7.057239355,3452.234219
HND,2003,33624.77328,14314722.33
HRV,2003,1738.980492,620755.9428
HTI,2003,1070.162075,373637.5003
HUN,2003,5733.022733,2005667.033
IDN,2003,544810.2966,359050788.4
IMN,2003,1.817298033,526.4216914
IND,2003,47750.63815,22923148.08
IRL,2003,2262.865182,949143.8476
IRN,2003,326.6750206,76217.87772
IRQ,2003,19.61672495,4988.345213
ISR,2003,30.17165819,6292.562343
ITA,2003,3613.191038,923357.0398
JAM,2003,1029.274034,447302.5139
JOR,2003,0.065259603,13.32024218
JPN,2003,19747.36425,7807131.11
KAZ,2003,3351.858901,573899.2036
KEN,2003,13552.81076,6246102.039
